Experiment	Bacterium	Treatment	Label	Rep	Plant	FW
III	R401_WT	NaCl	25B	2	Lotus japonicus	22.9
III	R401_WT	NaCl	25B	3	Lotus japonicus	16.1
III	R401_WT	NaCl	25C	1	Lotus japonicus	8.75
III	R401_WT	NaCl	25C	2	Lotus japonicus	21.8
III	R401_WT	NaCl	25C	3	Lotus japonicus	10.5
III	R401_WT	NaCl	25D	1	Lotus japonicus	16.2
III	R401_WT	NaCl	25D	2	Lotus japonicus	15.9
III	R401_WT	NaCl	25D	3	Lotus japonicus	15.2
III	R401_WT	NaCl	25E	1	Lotus japonicus	24.4
III	R401_WT	NaCl	25E	2	Lotus japonicus	14.4
III	R401_WT	NaCl	25E	3	Lotus japonicus	27.45
