Flowpot	Plant	NaCl	SynCom	R401	Value																						
1	5	50 mM	MSC	HK	23.7																						
2	1	50 mM	MSC	HK	20.3																						
2	2	50 mM	MSC	HK	32.4																						
2	3	50 mM	MSC	HK	9.7																						
2	4	50 mM	MSC	HK	48.6																						
2	5	50 mM	MSC	HK	0																						
3	1	50 mM	MSC	HK	25.3																						
3	2	50 mM	MSC	HK	4.3																						
3	3	50 mM	MSC	HK	26																						
3	4	50 mM	MSC	HK	44																						
3	5	50 mM	MSC	HK	23.8																						
4	1	50 mM	MSC	HK	33.4																						
4	2	50 mM	MSC	HK	16.6																						
4	3	50 mM	MSC	HK	7																						
4	4	50 mM	MSC	HK	40.4																						
4	5	50 mM	MSC	HK	0																						
5	1	50 mM	MSC	HK	2																						
5	2	50 mM	MSC	HK	26.3																						
5	3	50 mM	MSC	HK	18.1																						
5	4	50 mM	MSC	HK	24.7																						
5	5	50 mM	MSC	HK	1.4																						
6	1	50 mM	MSC	HK	35.8																						
6	2	50 mM	MSC	HK	12.2																						
6	3	50 mM	MSC	HK	18.2																						
6	4	50 mM	MSC	HK	33.2																						
6	5	50 mM	MSC	HK	27.2																						
1	1	50 mM	MSC	WT	1.9																						
1	2	50 mM	MSC	WT	27.1																						
1	3	50 mM	MSC	WT	18																						
1	4	50 mM	MSC	WT	19.7																						
1	5	50 mM	MSC	WT	39.5																						
2	1	50 mM	MSC	WT	24.9																						
2	2	50 mM	MSC	WT	27.8																						
2	3	50 mM	MSC	WT	44.5																						
2	4	50 mM	MSC	WT	0																						
2	5	50 mM	MSC	WT	0																						
3	1	50 mM	MSC	WT	1.1																						
3	2	50 mM	MSC	WT	19.5																						
3	3	50 mM	MSC	WT	18.4																						
3	4	50 mM	MSC	WT	33.5																						
3	5	50 mM	MSC	WT	0																						
4	1	50 mM	MSC	WT	13.1																						
4	2	50 mM	MSC	WT	40.1																						
4	3	50 mM	MSC	WT	37																						
4	4	50 mM	MSC	WT	4																						
4	5	50 mM	MSC	WT	3.3																						
5	1	50 mM	MSC	WT	26.3																						
5	2	50 mM	MSC	WT	1.9																						
5	3	50 mM	MSC	WT	23.1																						
5	4	50 mM	MSC	WT	28.2																						
5	5	50 mM	MSC	WT	0																						
6	1	50 mM	MSC	WT	36.5																						
6	2	50 mM	MSC	WT	8.8																						
6	3	50 mM	MSC	WT	3.3																						
6	4	50 mM	MSC	WT	38.8																						
6	5	50 mM	MSC	WT	58.5																						
1	1	50 mM	MSC	dLP	35.9																						
1	2	50 mM	MSC	dLP	39.2																						
1	3	50 mM	MSC	dLP	36.6																						
1	4	50 mM	MSC	dLP	23																						
1	5	50 mM	MSC	dLP	18.5																						
2	1	50 mM	MSC	dLP	1.7																						
2	2	50 mM	MSC	dLP	30.5																						
2	3	50 mM	MSC	dLP	13.2																						
2	4	50 mM	MSC	dLP	29.5																						
2	5	50 mM	MSC	dLP	47																						
3	1	50 mM	MSC	dLP	19.4																						
3	2	50 mM	MSC	dLP	55.1																						
3	3	50 mM	MSC	dLP	0																						
3	4	50 mM	MSC	dLP	0.2																						
3	5	50 mM	MSC	dLP	3.6																						
4	1	50 mM	MSC	dLP	29.8																						
4	2	50 mM	MSC	dLP	33.1																						
4	3	50 mM	MSC	dLP	0.3																						
4	4	50 mM	MSC	dLP	37.8																						
4	5	50 mM	MSC	dLP	22																						
5	1	50 mM	MSC	dLP	29.9																						
5	2	50 mM	MSC	dLP	13.7																						
5	3	50 mM	MSC	dLP	30.4																						
5	4	50 mM	MSC	dLP	35.2																						
5	5	50 mM	MSC	dLP	0																						
6	1	50 mM	MSC	dLP	0.8																						
6	2	50 mM	MSC	dLP	31.8																						
6	3	50 mM	MSC	dLP	30.7																						
6	4	50 mM	MSC	dLP	4.8																						
6	5	50 mM	MSC	dLP	15.8																						
1	1	50 mM	MSC	dD4	21.2																						
1	2	50 mM	MSC	dD4	8.8																						
1	3	50 mM	MSC	dD4	4.5																						
1	4	50 mM	MSC	dD4	35.5																						
1	5	50 mM	MSC	dD4	25.6																						
2	1	50 mM	MSC	dD4	34.3																						
2	2	50 mM	MSC	dD4	37.2																						
2	3	50 mM	MSC	dD4	42.1																						
2	4	50 mM	MSC	dD4	3.1																						
2	5	50 mM	MSC	dD4	18.9																						
3	1	50 mM	MSC	dD4	1.2																						
3	2	50 mM	MSC	dD4	8.1																						
3	3	50 mM	MSC	dD4	41.9																						
3	4	50 mM	MSC	dD4	75.2																						
3	5	50 mM	MSC	dD4	0																						
4	1	50 mM	MSC	dD4	1.1																						
4	2	50 mM	MSC	dD4	2.9																						
4	3	50 mM	MSC	dD4	1.7																						
4	4	50 mM	MSC	dD4	62.6																						
4	5	50 mM	MSC	dD4	0																						
5	1	50 mM	MSC	dD4	36.8																						
5	2	50 mM	MSC	dD4	54.1																						
5	3	50 mM	MSC	dD4	77.7																						
5	4	50 mM	MSC	dD4	0																						
5	5	50 mM	MSC	dD4	0																						
6	1	50 mM	MSC	dD4	33.6																						
6	2	50 mM	MSC	dD4	23.9																						
6	3	50 mM	MSC	dD4	38.2																						
6	4	50 mM	MSC	dD4	21.6																						
6	5	50 mM	MSC	dD4	63.8																						
1	1	100 mM	no SC	HK	3.8																						
1	2	100 mM	no SC	HK	2.1																						
1	3	100 mM	no SC	HK	2.4																						
1	4	100 mM	no SC	HK	1.4																						
1	5	100 mM	no SC	HK	0																						
2	1	100 mM	no SC	HK	9.6																						
2	2	100 mM	no SC	HK	1.5																						
2	3	100 mM	no SC	HK	0.9																						
2	4	100 mM	no SC	HK	1.9																						
2	5	100 mM	no SC	HK	0																						
3	1	100 mM	no SC	HK	1.9																						
3	2	100 mM	no SC	HK	15.2																						
3	3	100 mM	no SC	HK	8																						
3	4	100 mM	no SC	HK	6.2																						
3	5	100 mM	no SC	HK	15																						
4	1	100 mM	no SC	HK	4.9																						
4	2	100 mM	no SC	HK	8.8																						
4	3	100 mM	no SC	HK	5.1																						
4	4	100 mM	no SC	HK	3.2																						
4	5	100 mM	no SC	HK	22																						
5	1	100 mM	no SC	HK	0.9																						
5	2	100 mM	no SC	HK	1.8																						
5	3	100 mM	no SC	HK	3.6																						
5	4	100 mM	no SC	HK	0.8																						
5	5	100 mM	no SC	HK	1.6																						
6	1	100 mM	no SC	HK																							
6	2	100 mM	no SC	HK																							
6	3	100 mM	no SC	HK																							
6	4	100 mM	no SC	HK																							
6	5	100 mM	no SC	HK																							
1	1	100 mM	no SC	WT	0.8																						
1	2	100 mM	no SC	WT	0.6																						
1	3	100 mM	no SC	WT	0.8																						
1	4	100 mM	no SC	WT	0																						
1	5	100 mM	no SC	WT	0																						
2	1	100 mM	no SC	WT	1.7																						
2	2	100 mM	no SC	WT	3.6																						
2	3	100 mM	no SC	WT	0.3																						
2	4	100 mM	no SC	WT	0																						
2	5	100 mM	no SC	WT	0																						
3	1	100 mM	no SC	WT	11.5																						
3	2	100 mM	no SC	WT	0.4																						
3	3	100 mM	no SC	WT	1.9																						
3	4	100 mM	no SC	WT	0																						
3	5	100 mM	no SC	WT	0																						
4	1	100 mM	no SC	WT	1																						
4	2	100 mM	no SC	WT	1																						
4	3	100 mM	no SC	WT	1.3																						
4	4	100 mM	no SC	WT	0.9																						
4	5	100 mM	no SC	WT	0																						
5	1	100 mM	no SC	WT	1.5																						
5	2	100 mM	no SC	WT	0.6																						
5	3	100 mM	no SC	WT	0.3																						
5	4	100 mM	no SC	WT	0.4																						
5	5	100 mM	no SC	WT	0																						
6	1	100 mM	no SC	WT																							
6	2	100 mM	no SC	WT																							
6	3	100 mM	no SC	WT																							
6	4	100 mM	no SC	WT																							
6	5	100 mM	no SC	WT																							
1	1	100 mM	no SC	dLP	11.3																						
1	2	100 mM	no SC	dLP	14.2																						
1	3	100 mM	no SC	dLP	4.8																						
1	4	100 mM	no SC	dLP	12.7																						
1	5	100 mM	no SC	dLP	19.4																						
2	1	100 mM	no SC	dLP	3.4																						
2	2	100 mM	no SC	dLP	4.4																						
2	3	100 mM	no SC	dLP	9.3																						
2	4	100 mM	no SC	dLP	17.5																						
2	5	100 mM	no SC	dLP	1.9																						
3	1	100 mM	no SC	dLP	8.6																						
3	2	100 mM	no SC	dLP	3.9																						
3	3	100 mM	no SC	dLP	3.4																						
3	4	100 mM	no SC	dLP	3.7																						
3	5	100 mM	no SC	dLP	14.7																						
4	1	100 mM	no SC	dLP	2.5																						
4	2	100 mM	no SC	dLP	21.4																						
4	3	100 mM	no SC	dLP	30																						
4	4	100 mM	no SC	dLP	1.8																						
4	5	100 mM	no SC	dLP	0																						
5	1	100 mM	no SC	dLP	13.6																						
5	2	100 mM	no SC	dLP	6.9																						
5	3	100 mM	no SC	dLP	5.1																						
5	4	100 mM	no SC	dLP	26																						
5	5	100 mM	no SC	dLP	34.5																						
6	1	100 mM	no SC	dLP	8.5																						
6	2	100 mM	no SC	dLP	3.6																						
6	3	100 mM	no SC	dLP	0.8																						
6	4	100 mM	no SC	dLP	13																						
6	5	100 mM	no SC	dLP	31.9																						
1	1	100 mM	no SC	dD4	1.7																						
1	2	100 mM	no SC	dD4	1.1																						
1	3	100 mM	no SC	dD4	0.1																						
1	4	100 mM	no SC	dD4	1.5																						
1	5	100 mM	no SC	dD4	0																						
2	1	100 mM	no SC	dD4	1.5																						
2	2	100 mM	no SC	dD4	3.6																						
2	3	100 mM	no SC	dD4	1.3																						
2	4	100 mM	no SC	dD4	3.5																						
2	5	100 mM	no SC	dD4	11.4																						
3	1	100 mM	no SC	dD4	1																						
3	2	100 mM	no SC	dD4	0.8																						
3	3	100 mM	no SC	dD4	1.4																						
3	4	100 mM	no SC	dD4	0																						
3	5	100 mM	no SC	dD4	0																						
4	1	100 mM	no SC	dD4	0.5																						
4	2	100 mM	no SC	dD4	1																						
4	3	100 mM	no SC	dD4	1.6																						
4	4	100 mM	no SC	dD4	2.7																						
4	5	100 mM	no SC	dD4	0																						
5	1	100 mM	no SC	dD4	0.8																						
5	2	100 mM	no SC	dD4	1.5																						
5	3	100 mM	no SC	dD4	1.5																						
5	4	100 mM	no SC	dD4	1.7																						
5	5	100 mM	no SC	dD4	0																						
6	1	100 mM	no SC	dD4																							
6	2	100 mM	no SC	dD4																							
6	3	100 mM	no SC	dD4																							
6	4	100 mM	no SC	dD4																							
6	5	100 mM	no SC	dD4																							
1	1	100 mM	MSC	HK	14.7																						
1	2	100 mM	MSC	HK	3.7																						
1	3	100 mM	MSC	HK	13.4																						
1	4	100 mM	MSC	HK	25.7																						
1	5	100 mM	MSC	HK	38.1																						
2	1	100 mM	MSC	HK	35																						
2	2	100 mM	MSC	HK	12.6																						
2	3	100 mM	MSC	HK	13.6																						
2	4	100 mM	MSC	HK	28.9																						
2	5	100 mM	MSC	HK	48																						
3	1	100 mM	MSC	HK	6.1																						
3	2	100 mM	MSC	HK	17.9																						
3	3	100 mM	MSC	HK	5																						
3	4	100 mM	MSC	HK	15.4																						
3	5	100 mM	MSC	HK	0																						
4	1	100 mM	MSC	HK	11.5																						
4	2	100 mM	MSC	HK	17.1																						
4	3	100 mM	MSC	HK	9.7																						
4	4	100 mM	MSC	HK	25.7																						
4	5	100 mM	MSC	HK	19																						
5	1	100 mM	MSC	HK	32.3																						
5	2	100 mM	MSC	HK	19.3																						
5	3	100 mM	MSC	HK	15.5																						
5	4	100 mM	MSC	HK	23.2																						
5	5	100 mM	MSC	HK	18.6																						
6	1	100 mM	MSC	HK	9.9																						
6	2	100 mM	MSC	HK	9.3																						
6	3	100 mM	MSC	HK	15.1																						
6	4	100 mM	MSC	HK	19.7																						
6	5	100 mM	MSC	HK	9.6																						
1	1	100 mM	MSC	WT	1.9																						
